#{"t_start": 1682099368.929204, "env_id": null}
r,l,t
-127.577031,115,1.534308
-47.2617,72,1.633718
-60.590864,11,1.648244
-140.873136,84,1.762606
-78.643456,142,1.950881
-111.121933,37,2.003242
-97.809219,120,2.186266
-105.118879,45,2.248314
-60.147374,13,2.264433
-107.326627,39,2.322244
-108.704428,30,2.366618
-65.017496,42,2.43037
-114.561674,40,2.490302
-43.105414,38,2.546109
-61.613596,25,2.580356
-99.877896,97,2.711276
-116.038185,60,2.807251
-136.193458,96,2.943666
-107.870365,40,2.99815
-150.929037,69,3.088356
-105.543969,30,3.127727
-104.471219,52,3.197542
-89.009897,99,3.333523
-108.726267,25,3.368374
-112.763187,46,3.43076
-102.595579,26,3.4661
-107.68887,56,3.540601
-99.995769,10,3.55492
-107.382659,23,3.588512
-100.579744,33,3.632539
-110.974887,121,3.800054
-110.563697,34,3.848548
-35.372592,111,4.009147
7.412666,151,4.219998
-82.878264,27,4.25616
-91.883504,88,4.376793
-100.704193,18,4.399665
-103.048629,11,4.417207
-121.693345,128,4.583865
-106.088532,46,4.646296
62.3361,151,4.84817
-90.198338,63,4.928857
-19.389689,151,5.14336
-6.589413,151,5.350539
13.334335,151,5.568005
-64.205906,26,5.606685
-100.089434,143,5.802015
-106.036704,106,5.941568
4.864264,151,6.161109
-109.951782,38,6.214416
-97.46665,51,6.284069
-46.234657,151,6.500137
-55.059742,151,6.721012
-92.08666,74,6.828428
-105.333404,29,6.868694
-101.994011,15,6.889325
-104.793907,52,6.968868
-13.671562,151,7.174496
-94.730338,149,7.388624
-105.46205,39,7.443408
-43.974889,27,7.479092
-119.265408,100,7.613066
-131.77073,111,7.770696
-109.854054,70,7.864886
-36.5302,151,8.08628
-51.864329,151,8.296027
-113.655808,57,8.385736
-111.964878,51,8.462515
-58.166203,32,8.505626
-21.87887,151,8.71004
-87.699852,120,8.871349
-103.527489,13,8.892087
-116.096886,48,8.962094
-115.58261,65,9.057929
-44.026918,151,9.267343
-95.568984,81,9.375787
-101.123141,26,9.410658
-6.892074,151,9.60902
-52.897484,151,9.823673
-13.853367,151,10.023532
15.823864,151,10.226284
15.621678,151,10.426429
-50.762715,151,10.666417
-29.363276,151,10.883041
-6.552182,151,11.095018
-102.924705,11,11.110447
-141.091501,140,11.314888
-104.405153,16,11.337143
-109.821738,41,11.400361
-43.657764,151,11.618012
-100.888624,21,11.64684
-37.273249,151,11.83481
-99.783599,31,11.882746
-95.037203,48,11.954512
-29.416872,151,12.171735
-102.142758,16,12.194213
-108.829404,96,12.342482
-93.06358,124,12.547695
8.287005,151,12.769972
-102.934233,69,12.866064
-99.70922,81,13.011355
-123.992055,83,13.128396
15.91297,151,13.359309
-98.355419,30,13.40067
-99.595161,68,13.514279
-93.065031,68,13.62284
-37.596986,151,13.820835
-103.879831,92,13.966467
-98.278416,32,14.009231
-123.813056,97,14.159397
-29.967452,151,14.3596
-52.361652,151,14.561126
325.241415,151,14.765705
-113.742064,143,14.978314
-29.229176,151,15.182734
-102.440316,11,15.196891
-99.654545,64,15.294023
-30.855842,151,15.510786
-108.826647,46,15.585026
-109.267437,99,15.73108
-105.44977,29,15.776909
-29.226354,151,16.015417
-97.386894,47,16.085641
-114.153649,59,16.164247
-13.97073,151,16.386522
-119.529631,104,16.531236
15.76753,151,16.746506
-114.741114,62,16.833157
-104.708291,101,16.977632
-110.003633,35,17.039305
-109.839097,52,17.114687
-112.454318,89,17.245569
16.437828,151,17.468189
8.892605,151,17.673765
-122.360341,114,17.836771
-14.335013,151,18.034556
-104.421823,16,18.055647
-105.027843,55,18.128438
-108.403931,94,18.254831
-121.512819,111,18.411595
8.319816,151,18.634327
-99.311031,113,18.799981
-6.524232,151,19.017069
7.427308,151,19.219968
-92.046138,146,19.420625
-29.551382,151,19.640355
-96.13681,37,19.692244
-89.846298,96,19.829174
-112.659015,67,19.930874
-105.272159,19,19.956513
-29.692188,151,20.16091
-85.170246,136,20.355672
-94.948022,92,20.483635
-52.139768,151,20.697036
-105.557741,24,20.731137
-114.595881,60,20.815427
1.421183,151,21.042391
-21.773519,151,21.283391
-104.032658,29,21.325382
-99.678437,54,21.408679
325.16671,151,21.642908
-123.952409,71,21.752626
-51.545384,151,21.973685
-99.168502,102,22.119262
-109.662527,41,22.180927
-103.779649,89,22.321728
-103.780158,12,22.342167
-102.801764,31,22.386925
-99.689306,67,22.482301
-44.782862,151,22.708712
-21.639449,151,22.920708
15.344583,151,23.123211
-121.354673,146,23.313571
-21.236161,151,23.514658
9.07888,151,23.71636
-96.982277,55,23.792398
-93.221615,65,23.881783
-21.380997,151,24.089152
-6.526517,151,24.294728
-44.205084,151,24.491099
-102.159735,50,24.556126
-99.710063,43,24.614394
-105.846682,42,24.669672
-96.428246,64,24.755348
-93.728446,105,24.89991
-105.233005,28,24.93596
-92.170085,140,25.120186
16.149477,151,25.320313
15.545815,151,25.526888
8.95643,151,25.729643
-21.326344,151,25.928639
-96.072101,38,25.978916
-93.098057,112,26.125682
1.08665,151,26.321694
-104.445179,105,26.457876
-22.310123,151,26.655197
324.748709,151,26.857897
-92.929065,127,27.022804
15.816805,151,27.217116
-101.051237,24,27.249324
-98.333648,30,27.288206
-14.07397,151,27.483114
-37.370269,151,27.680441
-108.11542,43,27.734512
-29.223571,151,27.927717
-118.48486,64,28.012117
0.381318,151,28.215363
-21.128572,151,28.412226
-51.489775,151,28.606474
-104.432369,101,28.737432
-104.821062,53,28.80675
113.306721,100,28.93874
-114.869278,62,29.021332
-106.889737,21,29.048391
-102.002444,44,29.10784
-21.09148,151,29.302467
-14.276418,151,29.500426
8.745248,151,29.69821
-114.708553,51,29.762808
-52.237763,151,29.957452
48.653052,70,30.048618
-97.255107,48,30.112089
-112.549377,52,30.17873
-6.713277,151,30.374647
-36.547998,151,30.570566
-51.756156,151,30.777447
-96.494821,58,30.851484
-84.789596,138,31.033202
1.094762,151,31.229826
-6.576745,151,31.425602
-94.057606,106,31.562356
16.626169,151,31.759998
8.120137,151,31.95472
-110.803284,76,32.061388
-6.618774,151,32.254933
-104.066384,45,32.313464
-109.314048,49,32.377327
-15.937383,40,32.430072
325.383841,151,32.624641
-14.677273,151,32.8184
93.963165,91,32.938336
-51.824541,151,33.134243
-36.469071,151,33.336086
-105.179251,114,33.484658
74.447544,82,33.588495
-117.9555,62,33.670988
-29.231766,151,33.86548
-37.086879,151,34.061089
-110.490982,114,34.214355
-13.857535,151,34.412554
-14.082929,151,34.618895
0.717583,151,34.816607
-36.304824,151,35.016377
-44.725203,151,35.210595
-21.850116,151,35.40587
-14.811687,151,35.619634
-18.939956,151,35.828157
0.240907,151,36.042787
-13.786618,151,36.239004
-95.344487,46,36.307008
-5.983899,151,36.504905
-29.272952,151,36.704876
8.725446,151,36.910899
-106.173876,22,36.939872
-95.16704,90,37.059333
-86.964166,122,37.218086
-52.277691,151,37.441164
-102.246143,48,37.508791
-119.66931,102,37.643013
8.599607,151,37.838175
-14.044865,151,38.034096
-120.563677,105,38.17089
-29.746487,151,38.365707
-110.660711,77,38.467716
-111.788687,62,38.547645
-14.491409,151,38.745329
-120.50014,143,38.931936
-132.414552,95,39.056683
-14.452841,151,39.252265
-88.79854,104,39.388105
-103.05999,33,39.42957
-29.5055,151,39.629272
-102.722056,31,39.669797
-108.459661,59,39.748174
-6.55616,151,39.945989
8.308685,151,40.141626
-97.967788,37,40.189018
-110.496214,44,40.250303
16.005825,151,40.483382
-6.269699,151,40.703718
-103.206836,77,40.81264
-22.300246,151,41.023534
-106.583814,47,41.087251
-37.258337,151,41.283807
9.021303,151,41.48722
-107.42977,52,41.558163
-36.813866,151,41.765083
-93.215233,125,41.927365
-89.039485,104,42.061877
-132.92278,96,42.188782
-103.823084,42,42.242
-97.065088,55,42.313625
-94.988473,48,42.377319
-28.817997,151,42.573135
-98.2385,34,42.61818
-102.515703,60,42.698634
-103.032716,66,42.793182
-37.112166,151,42.992383
-117.012699,121,43.149478
-14.077643,151,43.344264
-14.089703,151,43.544451
-21.670888,151,43.739754
-105.271759,38,43.7882
1.350189,151,43.988604
-104.2033,109,44.127809
-108.556436,30,44.167323
-13.350887,151,44.363899
-95.149327,87,44.476612
-104.398408,32,44.517522
325.356207,151,44.717382
-6.999424,151,44.912271
-130.070386,125,45.076181
-52.293241,151,45.319808
-6.363137,151,45.520854
-51.457777,151,45.710252
-52.13591,151,45.904259
-106.124141,64,45.982892
0.580279,151,46.178294
-95.728757,41,46.228798
-102.141426,16,46.248621
16.200787,151,46.437133
0.985181,151,46.628954
-28.89739,151,46.818873
-113.527596,47,46.876134
-96.365153,64,46.958054
15.728679,151,47.148854
-99.909913,16,47.168329
-122.105256,117,47.316158
-115.271353,53,47.380395
-99.574603,76,47.474442
-22.432628,151,47.665898
-44.635015,151,47.856044
-6.554989,151,48.067429
8.539835,151,48.297451
-51.792047,151,48.504778
-104.910583,115,48.659653
132.560986,109,48.806395
-115.291042,107,48.948651
-111.630683,48,49.009715
-106.487986,23,49.041673
-98.989815,138,49.222409
-104.99453,18,49.247203
-92.372261,144,49.436156
-91.962958,140,49.619499
48.644552,70,49.717521
8.807408,151,49.918758
-37.021971,151,50.121504
-13.978619,151,50.339083
0.757686,151,50.543056
-103.021779,71,50.648725
-44.031585,151,50.852164
-52.106526,151,51.050282
-101.611872,38,51.1012
325.317584,151,51.300355
-105.379324,59,51.37872
-104.407178,16,51.399494
-99.296897,91,51.518521
-6.727526,151,51.7159
-95.440949,43,51.773982
-28.378038,151,51.975614
-104.714097,17,51.999859
68.109252,79,52.099927
-29.582447,151,52.298323
-92.96308,125,52.461922
-93.285749,63,52.543244
1.417288,151,52.739221
-115.455247,65,52.823876
-107.142865,30,52.862808
-99.836931,25,52.89624
8.796233,151,53.098408
-101.60209,18,53.120606
-21.584684,151,53.319286
-106.588624,28,53.35786
-120.7147,141,53.542794
8.82499,151,53.744013
-7.374671,151,53.944432
-118.150186,129,54.111741
-36.871403,151,54.320583
8.918531,151,54.53063
0.413767,151,54.744347
-123.223627,120,54.920864
-6.617445,151,55.162133
-101.141899,13,55.184028
-108.228209,29,55.233338
-103.666388,40,55.297147
-103.19365,23,55.33195
-14.102144,151,55.531775
-88.463503,111,55.699855
-99.759671,49,55.768213
-103.346625,78,55.874335
-6.468012,151,56.092871
185.979957,134,56.273131
-36.589045,151,56.480311
-99.418203,77,56.59563
-29.410622,151,56.797142
0.058154,151,56.995724
-104.582375,48,57.060184
-37.120297,151,57.256057
141.356403,113,57.407379
-105.148516,116,57.561369
-22.255229,151,57.758392
-107.680706,55,57.829665
-111.493478,40,57.88198
-21.785489,151,58.078342
-90.484922,89,58.196249
-97.881045,21,58.222993
-99.062968,122,58.379613
-120.549908,109,58.522742
-117.537419,94,58.646724
-6.211526,151,58.849976
-101.331051,31,58.889549
-115.557949,81,58.997997
-114.228828,98,59.124256
324.783069,151,59.322453
-110.481287,37,59.374073
-51.528817,151,59.570019
-98.060951,36,59.616819
-103.517365,13,59.636587
-109.565715,29,59.675849
-99.49681,94,59.80431
-109.093402,38,59.855488
0.292061,151,60.058868
-13.629006,151,60.262715
-29.442227,151,60.475954
-99.481659,54,60.546797
0.900592,151,60.755137
-6.372266,151,60.953978
-87.366229,118,61.107846
-104.701545,17,61.132469
-113.142395,46,61.197277
-94.21348,56,61.274178
1.20925,151,61.477667
-109.093113,47,61.541318
-99.888386,25,61.574342
15.893086,151,61.775187
1.514352,151,61.975417
15.843837,151,62.179402
-44.025299,151,62.397397
0.880889,151,62.607048
-36.302934,151,62.80599
-7.105054,151,63.010739
-28.636874,151,63.232059
-22.169994,151,63.453632
-99.673772,49,63.517569
-14.897941,151,63.722255
-14.553005,151,63.943317
-6.271407,151,64.198881
-91.792551,77,64.29848
-112.332926,126,64.471193
7.917841,151,64.706224
-87.574157,119,64.86394
-102.347039,13,64.880689
-107.148482,38,64.935131
-84.656838,148,65.138562
-7.437693,151,65.346085
-99.66637,72,65.446624
-97.700399,23,65.481131
-22.374086,151,65.683282
-28.915116,151,65.882731
-128.609322,97,66.011265
8.854331,151,66.210383
8.466983,151,66.408594
-51.982348,151,66.606427
-112.385454,52,66.673127
-112.351806,127,66.839526
-106.524136,46,66.904176
-35.261334,151,67.101148
-93.97824,104,67.251211
7.791137,151,67.457179
324.928046,151,67.657631
-103.53104,78,67.77025
-104.122892,13,67.793035
-29.348639,151,67.999709
-103.483036,19,68.029175
-45.083361,151,68.240568
-22.146683,151,68.459782
-108.797884,93,68.584127
-36.808864,151,68.779988
-36.869499,151,68.976115
8.589831,151,69.174578
-125.270822,106,69.312654
-99.308639,112,69.459984
-13.896941,151,69.660694
-44.099386,151,69.858059
-104.932961,35,69.903711
29.202603,61,69.982008
-37.331037,151,70.196923
-114.682489,62,70.277041
-108.65295,46,70.337035
-21.475481,151,70.533494
-6.585539,151,70.737488
-14.07552,151,70.940975
-99.633156,73,71.039348
-7.125802,151,71.256468
325.223321,151,71.453518
-21.76484,151,71.653805
-52.596033,151,71.856228
-44.57099,151,72.083925
-122.282227,92,72.212929
-105.30336,38,72.263017
-29.49495,151,72.46618
15.936946,151,72.674184
-90.377201,89,72.831746
-106.293757,27,72.866082
-28.56488,151,73.095006
-102.283523,54,73.183598
16.216317,151,73.399405
8.120288,151,73.602901
1.125357,151,73.8104
-107.97984,28,73.846216
-99.560428,107,73.99041
-92.683674,141,74.174655
-110.3821,73,74.268703
-6.959829,151,74.471469
-104.257126,23,74.500138
-107.183907,78,74.602947
-107.644922,27,74.6382
-3.008007,46,74.696506
-106.357796,45,74.755192
-44.061184,151,74.949874
16.110638,151,75.15312
-103.691029,40,75.20857
-133.586425,141,75.400805
-36.163725,151,75.597828
-51.514344,151,75.818129
-108.245656,35,75.869229
-45.144829,151,76.07301
325.200965,151,76.274441
-85.667822,137,76.483535
-99.437629,65,76.580034
-51.48138,151,76.781413
-106.761324,73,76.873955
-108.339371,44,76.930212
-105.514804,40,76.981297
8.366002,151,77.180951
7.986077,151,77.387628
-99.723113,87,77.513639
-98.603673,26,77.551743
8.813074,151,77.763828
8.014564,151,77.962166
-21.259297,151,78.178034
9.312772,151,78.404091
-6.393094,151,78.634276
-103.456306,38,78.693474
-99.677972,58,78.779654
-104.832422,52,78.852085
-13.459484,151,79.063765
-104.273569,102,79.200585
8.026652,151,79.417379
-103.405306,81,79.548389
-13.912126,151,79.781353
-21.723931,151,79.982688
-88.193581,112,80.126561
7.348848,151,80.33483
-106.763541,36,80.384825
-51.801343,151,80.58199
-93.658356,109,80.74716
7.966777,151,80.966582
16.856919,151,81.184492
-95.491921,76,81.282932
8.96002,151,81.485029
-99.517519,82,81.604837
-104.898453,53,81.67824
0.964917,151,81.881001
-51.904144,151,82.086024
-97.000846,54,82.159276
-29.175066,151,82.373319
-98.420644,29,82.416193
-100.947936,23,82.447761
-7.025997,151,82.652572
-117.924431,62,82.744956
-13.845465,151,82.957622
0.361049,151,83.173282
15.694438,151,83.39075
40.065421,66,83.497958
-21.631914,151,83.7427
-104.378727,19,83.770872
7.976548,151,83.992128
-98.590734,26,84.026059
