#{"t_start": 1682011751.0362039, "env_id": null}
r,l,t
-97.531595,20,0.916845
-148.499141,13,0.920404
-165.747846,37,0.928918
-174.187842,33,0.936432
-130.307034,34,0.945102
-214.125029,68,0.960824
-179.365751,32,0.967983
-106.173074,16,0.971867
-202.478753,30,0.979092
-117.744533,25,0.984732
-100.02931,13,0.988257
-219.517587,26,0.99443
-101.822376,12,0.998079
-151.434321,28,1.004497
-170.347855,21,1.009491
-322.786343,65,1.024074
-110.291109,27,1.030617
-195.641031,107,1.053846
-127.481374,21,1.05882
-96.567093,22,1.06404
-231.118626,80,1.082322
-332.34177,77,1.099491
-261.761535,35,1.107697
-197.639496,28,1.114426
-130.931482,34,1.122446
-107.627831,16,1.126345
-130.533274,36,1.134563
-208.341394,33,1.142413
-152.268497,11,1.145585
-232.09622,151,1.185191
-150.37015,84,1.202036
-151.422887,13,1.205158
-151.02346,23,1.210725
-148.204882,10,1.213405
-157.23097,10,1.215936
-332.473338,51,1.226335
-97.716976,12,1.229693
-149.363899,11,1.232428
-201.819576,86,1.249388
-148.689108,10,1.251963
-378.663016,93,1.271282
-106.147435,12,1.274127
-100.638267,10,1.276633
-99.302846,24,1.28178
-167.595704,19,1.286305
-99.047341,10,1.288753
-241.636976,54,1.299464
-153.763851,16,1.302934
-112.19902,21,1.308208
-150.402019,10,1.31068
-156.46124,34,1.317602
-167.600643,22,1.322436
-178.306335,81,1.339283
-168.185279,11,1.342058
-104.068096,10,1.344666
-242.598132,81,1.360842
-127.9661,46,1.376995
-135.64515,49,1.387185
-125.625399,13,1.390222
-123.329522,23,1.395239
-97.375706,18,1.399569
-272.634848,26,1.405147
-148.843625,10,1.407661
-98.290528,10,1.410167
-124.308781,22,1.415368
-100.150849,12,1.418362
-153.121205,13,1.421426
-105.433466,11,1.424205
-163.961944,22,1.429529
-296.571115,71,1.44429
-99.155944,10,1.446775
-106.050862,10,1.449233
-110.341129,12,1.452374
-158.8144,18,1.456363
-169.034728,49,1.466946
-99.462475,15,1.470438
-101.0457,10,1.473124
-104.184533,10,1.475618
-172.641938,29,1.481794
-172.286648,76,1.497636
-151.074443,10,1.500442
-168.038325,30,1.506789
-253.460889,50,1.516818
-148.460288,10,1.519337
-112.164301,17,1.523258
-233.75115,63,1.53617
-101.081021,21,1.540807
-174.004043,46,1.550213
-135.084961,47,1.560481
-238.939094,46,1.570174
-147.813725,22,1.575173
-179.734397,151,1.612624
-97.534348,15,1.616621
-167.220047,12,1.61955
-108.857875,10,1.622092
-226.362353,55,1.63342
-100.345178,23,1.638874
-108.036568,11,1.641571
-152.068933,11,1.644229
-154.571916,72,1.658748
-99.024037,11,1.661729
-269.493535,65,1.675422
-111.409216,21,1.680124
-180.205855,38,1.687938
-192.838436,36,1.695884
-180.811905,34,1.703
-152.718395,12,1.705895
-153.109268,12,1.708775
-108.380108,12,1.711827
-98.652737,11,1.714391
-166.463867,28,1.720443
-154.413403,10,1.722897
-163.044935,55,1.734128
-188.622055,99,1.754642
-171.104637,30,1.760996
-145.292022,23,1.766102
-214.756519,58,1.778447
-174.323348,19,1.782681
-154.498068,44,1.79185
-161.429635,23,1.796995
-175.262964,30,1.803843
-663.096809,70,1.824709
-158.335962,20,1.829356
-98.765072,12,1.83244
-101.702824,11,1.835797
-106.746516,24,1.841372
-161.906662,25,1.846801
-148.766295,12,1.849814
-100.562023,13,1.853448
-215.454413,61,1.866016
-252.20312,58,1.878016
-101.762445,24,1.883138
-202.157008,61,1.89558
-166.967595,13,1.898663
-213.023573,46,1.90798
-149.258842,10,1.910475
-169.321658,17,1.914663
-97.879199,24,1.919943
-103.683473,10,1.922454
-277.862412,38,1.930277
-98.339008,10,1.933241
-104.495987,21,1.937884
-112.779235,38,1.94539
-110.557725,44,1.954504
-103.860311,11,1.957637
-103.884156,24,1.962786
-101.008853,10,1.96525
-211.04,45,1.974674
-156.457439,11,1.977817
-161.536649,21,1.982434
-153.808749,11,1.985069
-150.084397,13,1.988377
-301.869877,84,2.0058
-202.510567,58,2.017284
-163.891147,15,2.020843
-165.51538,59,2.032739
-188.466696,59,2.051361
-170.031491,41,2.060013
-247.848771,112,2.082855
-159.725257,24,2.087964
-101.299522,10,2.090971
-115.588206,24,2.09655
-156.785778,13,2.099727
-100.751486,10,2.102113
-280.591353,98,2.122337
-105.013214,10,2.12478
-218.546813,57,2.136744
-150.990235,15,2.140199
-105.633419,23,2.145621
-153.647253,34,2.152716
-155.682304,11,2.155308
-179.74203,17,2.159214
-148.490113,12,2.162556
-528.711157,129,2.188067
-160.134222,12,2.190944
-214.765808,54,2.201952
-97.920627,13,2.205461
-148.484535,12,2.208415
-111.608829,37,2.215874
-152.026302,51,2.226056
-106.87916,10,2.228977
-105.605973,10,2.231498
-117.806941,23,2.236502
-99.217689,14,2.239753
-150.218946,10,2.242809
-101.402454,10,2.245274
-281.026989,49,2.255107
-106.585183,10,2.257638
-224.952187,44,2.270038
-172.472635,69,2.28419
-326.695303,89,2.302283
-148.784496,10,2.304724
-150.621746,11,2.307828
-212.462971,26,2.313411
-109.50848,10,2.315881
-105.611364,24,2.321395
-155.434432,21,2.326621
-105.079944,24,2.331744
-276.914503,47,2.341234
-227.397181,56,2.352353
-133.484236,22,2.357522
-165.559723,22,2.362237
-110.539172,10,2.364713
-101.588826,32,2.371418
-157.402965,22,2.37669
-158.409382,16,2.380204
-141.062295,44,2.389169
-161.412973,14,2.392452
-161.082558,27,2.398744
-153.315839,22,2.403825
-189.4534,26,2.409476
-98.620885,11,2.412049
-198.105909,33,2.419544
-167.613145,17,2.423334
-121.626027,54,2.434097
-156.080319,10,2.436614
-153.438396,26,2.442717
-117.35609,48,2.452673
-160.075788,11,2.455335
-111.080285,41,2.463917
-151.419466,10,2.467331
-165.961569,35,2.474906
-101.462814,15,2.478323
-161.893001,47,2.490968
-239.329617,45,2.500996
-110.280859,25,2.506462
-106.664634,35,2.513877
-160.474133,11,2.516669
-98.556087,10,2.519727
-164.729591,10,2.522281
-99.571575,11,2.525421
-155.578304,22,2.530571
-153.207876,10,2.533776
-330.105331,48,2.543593
-120.510168,24,2.548899
-118.211664,29,2.55525
-208.076614,44,2.564658
-110.837509,12,2.567597
-185.241216,37,2.575351
-105.216567,15,2.578887
-105.437738,10,2.581848
-176.109159,38,2.589935
-204.655854,38,2.598018
-183.516788,83,2.615
-100.679641,10,2.617934
-147.74906,16,2.621665
-106.814837,11,2.624376
-438.906029,100,2.644389
-191.113925,84,2.661778
-147.82939,13,2.664789
-100.195057,10,2.667776
-171.183754,46,2.677346
-169.529734,13,2.680802
-167.147677,22,2.685757
-194.336734,17,2.689445
-101.34647,12,2.692275
-150.162339,24,2.697941
-172.546706,29,2.704112
-186.848451,22,2.711272
-189.582778,52,2.721589
-167.065312,38,2.730176
-102.027332,10,2.732785
-191.017058,61,2.745653
-162.095699,36,2.753425
-336.719285,100,2.774229
-492.267156,148,2.803085
-148.952679,27,2.808749
-119.834711,37,2.816803
-102.16862,10,2.819777
-114.618446,22,2.82475
-148.752939,10,2.827186
-215.397285,34,2.834196
-105.306434,10,2.837333
-177.546013,51,2.848404
-141.085926,25,2.853729
-166.069082,30,2.860052
-320.722927,67,2.874999
-98.06865,18,2.879011
-254.482464,99,2.89888
-122.37188,11,2.901447
-167.825648,23,2.906676
-187.438507,23,2.911769
-171.238285,28,2.917783
-158.500921,38,2.928518
-110.342875,12,2.932054
-225.584525,25,2.937586
-103.858561,22,2.942563
-161.072274,15,2.946134
-402.645125,110,2.969015
-117.522046,11,2.971679
-165.388741,21,2.976411
-169.316985,45,2.985623
-116.584677,36,2.993852
-210.057142,20,2.998392
-104.484082,12,3.001223
-242.497977,36,3.009097
-110.284696,67,3.022939
-100.613199,10,3.025546
-96.886315,15,3.028971
-98.403744,11,3.031564
-97.95633,15,3.035425
-235.629905,44,3.04452
-161.200222,10,3.046982
-99.282125,10,3.04954
-180.049134,27,3.055696
-235.339031,56,3.067326
-216.034684,94,3.08671
-103.519461,12,3.089624
-183.238418,29,3.096353
-224.676165,45,3.105578
-158.052884,10,3.108071
-214.910492,36,3.115363
-150.182852,12,3.118663
-150.72357,12,3.121571
-172.558668,26,3.127141
-98.858399,10,3.129598
-98.375481,11,3.132469
-153.512473,10,3.134938
-156.162612,19,3.139049
-179.76696,35,3.156152
-100.652262,11,3.159412
-159.29199,101,3.180488
