#{"t_start": 1682102231.7842994, "env_id": null}
r,l,t
-78.323768,64,1.360027
-84.473919,36,1.385828
-61.408421,12,1.394661
-77.037659,45,1.426496
-63.819844,11,1.434926
-68.610295,27,1.454649
-74.225533,34,1.478422
-85.05419,38,1.505607
-137.725689,49,1.540381
-71.604293,36,1.565986
-102.833158,12,1.574753
-62.221644,10,1.582051
-81.001442,151,1.686244
-135.544285,51,1.721483
-100.324302,10,1.728876
-80.250135,48,1.761611
-77.611697,37,1.787076
-62.627079,10,1.794533
-107.920154,17,1.806347
-77.199102,40,1.834567
-63.638485,10,1.842231
-63.815173,12,1.850863
-153.811956,61,1.892352
-63.316338,10,1.899748
-107.423088,97,1.96723
-63.712405,10,1.974495
-103.383913,10,1.981897
-100.841285,12,1.990491
-62.320022,11,1.998588
-71.653005,23,2.014731
-93.677521,151,2.127391
-64.009079,11,2.135132
-111.205789,25,2.152394
-63.207945,12,2.161137
-70.265228,24,2.177503
-132.436383,41,2.204501
-111.501809,84,2.260377
-62.996693,13,2.269313
-118.208344,34,2.292055
-56.891979,22,2.307177
-60.713494,12,2.315692
-62.850866,10,2.322634
-100.917294,11,2.33045
-122.934773,32,2.352421
-100.214868,12,2.360893
-64.768549,51,2.394955
-111.008787,22,2.410328
-124.877462,28,2.429369
-102.36854,10,2.436576
-102.296954,11,2.444266
-104.678198,21,2.458546
-103.477252,10,2.465703
-63.177646,11,2.473339
-108.717814,16,2.484446
-101.741114,11,2.492065
-101.499275,12,2.500608
-82.447953,43,2.529529
-77.804823,25,2.546445
-100.511643,37,2.571355
-30.946176,151,2.670909
-103.283078,13,2.680024
-101.926,13,2.688877
-61.361848,11,2.696671
-117.585203,29,2.718945
-102.29879,11,2.726695
-60.750712,18,2.739536
-75.455867,24,2.810123
-111.992908,34,2.833283
-60.423232,10,2.840279
-103.902109,15,2.85067
-66.301817,18,2.862873
-77.117321,37,2.887671
-121.96798,38,2.913086
-172.545256,103,2.981881
-153.779687,139,3.079722
-82.962405,48,3.112364
-64.329295,10,3.119362
-113.658926,34,3.142118
-119.79531,27,3.161175
-46.685369,23,3.176659
-112.807773,24,3.192815
-110.861069,86,3.250084
-107.496288,17,3.261974
-55.146062,24,3.278848
-65.166736,21,3.293186
-65.620743,21,3.307922
-117.060573,28,3.327052
-87.165327,39,3.353458
-121.6388,46,3.384993
-78.231769,46,3.416645
-64.030907,11,3.424568
-102.198438,10,3.431949
-106.248928,20,3.446196
-62.674492,10,3.45618
-64.996261,62,3.500375
-121.130459,23,3.516829
-60.758898,12,3.525297
-104.292918,14,3.535324
-106.244952,72,3.584004
-116.033501,22,3.599104
-62.804007,10,3.605963
-60.489479,11,3.613947
-105.580526,26,3.631994
-62.277925,10,3.63901
-104.851542,14,3.648946
-62.338749,11,3.656643
-33.825819,66,3.701585
-105.489831,49,3.734777
-60.720556,49,3.767827
-86.087947,43,3.797341
-84.247663,58,3.835931
-103.796388,11,3.843656
-126.85751,52,3.879445
-63.491594,17,3.891115
-66.679253,22,3.906802
-63.911129,11,3.914996
-143.403655,66,3.960756
-101.183335,12,3.969275
-53.097497,33,3.991825
6.052545,64,4.035186
-62.548093,10,4.042244
-61.355687,11,4.050187
-116.853391,40,4.076758
-61.321108,10,4.083881
-62.346391,14,4.093549
-130.126211,45,4.123724
-148.556489,84,4.183716
-89.052403,33,4.206172
-126.083645,55,4.295864
-56.129135,12,4.304199
-64.677025,54,4.340554
-64.783566,35,4.365891
-32.729188,29,4.386038
-114.731525,34,4.409762
-103.663765,11,4.418083
-83.840884,42,4.447139
-113.554338,44,4.477462
-108.861886,28,4.496526
-76.650179,27,4.514855
-115.084878,29,4.53437
-61.421994,11,4.542012
-64.29301,10,4.549055
-94.059862,103,4.617736
-65.432994,16,4.628835
-110.89221,19,4.64193
-64.061666,12,4.650395
-64.509025,23,4.666091
-61.258472,11,4.673649
-86.596069,46,4.70542
-72.810825,75,4.755772
-104.313672,12,4.764421
-122.327231,40,4.809321
-116.47525,81,4.878664
-63.556374,12,4.888409
-83.903099,131,4.986851
-103.165122,11,4.99475
-62.7935,21,5.009835
-63.104786,11,5.018141
-102.449094,17,5.029826
-69.979249,18,5.042776
-63.54112,10,5.05036
-88.291798,40,5.07759
-119.988374,52,5.115565
-106.210627,15,5.126011
-112.725999,21,5.140386
-61.960906,11,5.148206
-100.71582,12,5.156576
