#{"t_start": 1681927915.74368, "env_id": null}
r,l,t
-61.982216,11,1.477944
-92.966097,57,1.533713
-154.390049,69,2.040004
-153.527131,36,2.074792
-128.74394,13,2.087885
-134.421008,25,2.112384
-64.950635,12,2.124491
-64.584051,11,2.135654
-61.132909,10,2.145944
-70.783999,74,2.469339
-139.331024,35,2.503098
-154.646714,41,2.854814
-65.080746,11,2.86615
-142.619756,29,2.895711
-154.169872,85,3.42398
-64.956571,10,3.434655
-138.831614,24,3.45833
-64.607571,13,3.471636
-130.283857,11,3.482993
-64.287745,11,3.494351
-56.203977,10,3.504523
-64.664424,10,3.514809
-64.306708,10,3.524937
-129.11621,13,3.538266
-63.036565,64,3.78654
-57.260253,18,3.805145
-60.744211,10,3.816228
-64.938112,14,3.830472
-130.343613,15,3.846379
-102.867732,78,4.240144
-67.540388,27,4.267136
-146.739913,44,4.667507
-64.916067,14,4.681866
-121.176493,12,4.69432
-82.999967,42,4.734888
-58.391235,25,4.759282
-129.960896,11,4.79363
-102.126363,89,5.167798
-85.871171,64,5.627156
-65.816504,12,5.639085
-73.509865,25,5.663235
-64.578593,14,5.67707
-64.345095,12,5.688973
-65.020567,10,5.699251
-64.703897,11,5.71034
-150.424069,41,6.02238
-64.229843,13,6.035465
-59.106944,12,6.047502
-124.589195,10,6.057451
-150.43742,40,6.096744
-64.252261,15,6.11185
-70.30704,33,6.143109
-77.29666,71,6.495678
-138.294366,31,6.525049
-136.886931,17,6.541764
-64.847922,14,6.905061
-63.28166,30,6.933997
-144.687863,49,6.981279
-65.429647,11,6.993189
-138.845317,22,7.016312
-76.604793,24,7.372926
-130.63879,13,7.38695
-60.59804,12,7.39989
-64.372177,11,7.4119
-81.830175,41,7.454638
-142.725852,27,7.4842
-54.457171,10,7.496797
-66.676369,21,7.822981
-64.270656,11,7.835138
-141.450956,40,7.875911
-140.925281,38,7.914194
-64.990438,11,7.92584
-61.370119,27,8.221074
-122.543211,90,8.330563
-98.257115,92,8.882058
-144.365136,33,8.915936
-140.816968,26,9.364439
-128.513317,18,9.383118
-129.112286,13,9.397053
-64.234828,11,9.4085
-84.281071,58,9.465014
-93.125877,201,10.116055
-61.069463,10,10.12632
